instance_id,flagged_path,oracle,manual,gold_files
conan-io__conan-15422,conan/tools/cmake/presets.py,bad,,conan/tools/cmake/presets.py
conan-io__conan-15499,conans/client/installer.py,good,,conan/cli/args.py;conan/cli/command.py
conan-io__conan-15499,conans/client/installer.py,good,,conan/cli/args.py;conan/cli/command.py
conan-io__conan-15571,conans/model/options.py,bad,,conans/model/options.py
conan-io__conan-15575,conans/client/graph/provides.py,bad,,conans/client/graph/provides.py
deepset-ai__haystack-6701,haystack/core/component/component.py,bad,,haystack/core/component/component.py;releasenotes/notes/component-kw-only-run-args-eedee8907232d2d4.yaml
deepset-ai__haystack-6713,haystack/marshal/yaml.py,good,,haystack/components/generators/hugging_face_local.py;haystack/components/rankers/transformers_similarity.py;haystack/components/readers/extractive.py;releasenotes/notes/serialize-torch-dtype-57c6c94f6114fc00.yaml
deepset-ai__haystack-6887,haystack/utils/auth.py,bad,,haystack/components/audio/whisper_remote.py;haystack/components/builders/dynamic_chat_prompt_builder.py;haystack/components/builders/dynamic_prompt_builder.py;haystack/components/converters/azure.py;haystack/components/embedders/azure_document_embedder.py;haystack/components/embedders/azure_text_embedder.py;haystack/components/embedders/backends/sentence_transformers_backend.py;haystack/components/embedders/hf_utils.py;haystack/components/embedders/hugging_face_tei_document_embedder.py;haystack/components/embedders/hugging_face_tei_text_embedder.py;haystack/components/embedders/openai_document_embedder.py;haystack/components/embedders/openai_text_embedder.py;haystack/components/embedders/sentence_transformers_document_embedder.py;haystack/components/embedders/sentence_transformers_text_embedder.py;haystack/components/generators/azure.py;haystack/components/generators/chat/azure.py;haystack/components/generators/chat/hugging_face_local.py;haystack/components/generators/chat/hugging_face_tgi.py;haystack/components/generators/chat/openai.py;haystack/components/generators/hf_utils.py;haystack/components/generators/hugging_face_local.py;haystack/components/generators/hugging_face_tgi.py;haystack/components/generators/openai.py;haystack/components/rankers/transformers_similarity.py;haystack/components/websearch/searchapi.py;haystack/components/websearch/serper_dev.py;haystack/utils/__init__.py;haystack/utils/auth.py;releasenotes/notes/secret-handling-for-components-d576a28135a224db.yaml;releasenotes/notes/update-secret-handling-in-components-925d4f3c3c9530db.yaml
deepset-ai__haystack-7042,haystack/components/evaluators/statistical_evaluator.py,bad,,haystack/components/evaluators/statistical_evaluator.py;releasenotes/notes/add-mrr-metric-362527e55e21c24c.yaml
instructlab__instructlab-1417,src/instructlab/model/serve.py,good,,src/instructlab/configuration.py
instructlab__instructlab-615,cli/lab.py,bad,,cli/lab.py
instructlab__instructlab-849,tests/__init__.py,good,,cli/generator/generate_data.py;cli/lab.py;cli/utils.py
keras-team__keras-19641,keras/src/layers/convolutional/conv3d.py,good,,keras/src/backend/tensorflow/nn.py
keras-team__keras-19773,keras/src/layers/preprocessing/string_lookup.py,bad,,keras/src/layers/preprocessing/string_lookup.py
keras-team__keras-19775,keras/src/backend/tensorflow/numpy.py,bad,,keras/src/backend/tensorflow/numpy.py
keras-team__keras-19844,keras/src/layers/rnn/gru.py,bad,,keras/src/initializers/__init__.py;keras/src/layers/rnn/gru.py
matplotlib__matplotlib-27647,lib/matplotlib/axis.py,good,,lib/matplotlib/ticker.py
